link,anger,disgust,fear,joy,sadness
https://twitter.com/RDaffodils/status/1269730594352578560,0.096639,0.114677,0.517214,0.199013,0.23719
https://twitter.com/RDaffodils/status/1269730499666141184,0.096639,0.114677,0.517214,0.199013,0.23719
https://twitter.com/RDaffodils/status/1269730453671473152,0.096639,0.114677,0.517214,0.199013,0.23719
https://twitter.com/RDaffodils/status/1269730368434827266,0.096639,0.114677,0.517214,0.199013,0.23719
https://twitter.com/RDaffodils/status/1269730279452585985,0.096639,0.114677,0.517214,0.199013,0.23719
https://twitter.com/RDaffodils/status/1269729927219142656,0.096639,0.114677,0.517214,0.199013,0.23719
https://twitter.com/RDaffodils/status/1269728743569813504,0.127834,0.063876,0.681077,0.16559,0.101015
https://twitter.com/RDaffodils/status/1269727778145857538,0.08498,0.113184,0.486221,0.246872,0.175765
https://twitter.com/iamMozhi/status/1269616100351905792,0.086721,0.094182,0.24869,0.006666,0.727008
https://twitter.com/iamMozhi/status/1269602339675082752,0.086721,0.094182,0.24869,0.006666,0.727008
https://twitter.com/thenewstuffin/status/1269567147522453506,0.088402,0.071863,0.072046,0.068307,0.063242
https://twitter.com/viveksingaram/status/1269497048354549760,0.015894,0.052638,0.113093,0.492626,0.193466
https://twitter.com/iamMozhi/status/1269237746205429760,0.051366,0.087009,0.167506,0.022132,0.49587
https://twitter.com/GermanyChennai/status/1269122926126616576,0.015054,0.018652,0.077533,0.832831,0.041015
https://twitter.com/archi3archana/status/1269110714859507712,0.339554,0.047996,0.188462,0.089595,0.25867
https://twitter.com/iamMozhi/status/1268878771303731201,0.027086,0.055439,0.084384,0.105018,0.131016
https://twitter.com/GermanyChennai/status/1268806086615879682,0.063388,0.14633,0.069678,0.073117,0.218017
https://twitter.com/TVivran/status/1268582061176008704,0.039401,0.052451,0.012129,0.483014,0.044748
https://twitter.com/TnNewsNetwork24/status/1268454463032815616,0.156082,0.056997,0.08898,0.02037,0.629461
