link,anger,disgust,fear,joy,sadness
https://twitter.com/SakalMediaNews/status/1270728741136797696,0.055262,0.121362,0.365673,0.024281,0.267329
https://twitter.com/WEsearchlab/status/1270705555661713410,0.033712,0.026946,0.076114,0.156656,0.112126
https://twitter.com/Ei_Samay/status/1270605471712493568,0.202903,0.126252,0.026487,0.363703,0.038858
https://twitter.com/indiablooms/status/1270401875032944641,0.051887,0.02957,0.13316,0.11052,0.134806
https://twitter.com/Monideepa62/status/1270373135909629954,0.239536,0.048417,0.235313,0.088937,0.168046
https://twitter.com/OnlySiddhartha/status/1270371519345176577,0.150668,0.030297,0.190381,0.153883,0.068444
https://twitter.com/sarang160499/status/1270303079867600896,0.12971,0.027757,0.155845,0.291028,0.250627
https://twitter.com/mousharmistha/status/1270295998259134465,0.076049,0.0107,0.041559,0.798161,0.085751
https://twitter.com/Calcutta_Times/status/1270241718206676993,0.03574,0.194393,0.013098,0.668651,0.126708
https://twitter.com/Ei_Samay/status/1270229654608252928,0.163748,0.067761,0.076899,0.127622,0.123308
https://twitter.com/the_scrbblr/status/1270227084430856193,0.012613,0.125934,0.099884,0.225788,0.088405
https://twitter.com/Calcutta_Times/status/1270226619123339264,0.15407,0.17044,0.130125,0.131082,0.516004
https://twitter.com/IndiaToday/status/1270185914141077505,0.025496,0.008697,0.15531,0.481514,0.084445
https://twitter.com/ajaydaga05/status/1270135970168438784,0.090517,0.076579,0.260501,0.290808,0.162953
https://twitter.com/PassionForNews/status/1270040427329130498,0.118233,0.41777,0.099016,0.095912,0.239762
https://twitter.com/jawaid_danish/status/1270040351886184451,0.29691,0.058826,0.065184,0.01329,0.729564
https://twitter.com/pankajagarwal75/status/1270039049500311553,0.138177,0.276705,0.189817,0.126903,0.169384
https://twitter.com/mykhelcom/status/1270036098937319428,0.066062,0.25086,0.062623,0.189796,0.123168
https://twitter.com/nathanjessep87/status/1270033749443477510,0.043192,0.020479,0.132126,0.468473,0.335636
https://twitter.com/Monideepa62/status/1270024315157843968,0.249689,0.04755,0.274712,0.079523,0.174706
https://twitter.com/Monideepa62/status/1269987283417141248,0.120239,0.004001,0.510718,0.158351,0.163707
https://twitter.com/manogyaloiwal/status/1269976599967019008,0.248303,0.337773,0.073861,0.060636,0.166166
https://twitter.com/I_am_Shreyas/status/1269972199366176768,0.346046,0.10546,0.059568,0.428564,0.178127
https://twitter.com/LocalSamosa/status/1269965263652491264,0.041494,0.094341,0.049545,0.465351,0.096342
https://twitter.com/ETNOWlive/status/1269944934326394880,0.120646,0.037349,0.167404,0.153218,0.252558
https://twitter.com/LocalSamosa/status/1269928403672510464,0.115029,0.051941,0.081299,0.053746,0.143211
