link,anger,disgust,fear,joy,sadness
https://twitter.com/blood_punjabi/status/1272066388731949056,0.332518,0.12125,0.019497,0.035532,0.366608
https://twitter.com/TOIMumbai/status/1272053820374183937,0.064881,0.06011,0.077552,0.192978,0.164321
https://twitter.com/Thetrueshittys1/status/1272037662589947904,0.038424,0.019347,0.088755,0.254995,0.533217
https://twitter.com/rjanardhan/status/1272020337824108545,0.037417,0.060097,0.03563,0.579594,0.080791
https://twitter.com/RohitMehtaActor/status/1271862517397102593,0.168855,0.030666,0.136452,0.157044,0.530489
https://twitter.com/vinit9489/status/1271844515855261703,0.198007,0.085939,0.155715,0.050505,0.649404
https://twitter.com/mumbaimatterz/status/1271823714254897152,0.186699,0.044646,0.162284,0.091785,0.69201
https://twitter.com/Arundhativeera/status/1271769176907100160,0.129748,0.058585,0.06535,0.149145,0.134679
https://twitter.com/dhirendrasgala/status/1271765923670528001,0.017018,0.004381,0.021011,0.336403,0.01487
https://twitter.com/IBS_MediaNews/status/1271751105442017283,0.040804,0.130795,0.039282,0.486705,0.12982
https://twitter.com/IBS_MediaNews/status/1271750269097766912,0.105711,0.492156,0.029762,0.352178,0.129217
https://twitter.com/Maha_MEDD/status/1271739527405568000,0.027942,0.066991,0.082719,0.098108,0.223127
https://twitter.com/veena_developer/status/1271725580510040064,0.060287,0.081979,0.042893,0.093382,0.371635
https://twitter.com/Maha_MEDD/status/1271701436120936448,0.028663,0.072313,0.084191,0.099946,0.224858
https://twitter.com/amarbutala/status/1271667565807276033,0.043398,0.024543,0.021281,0.245275,0.470312
https://twitter.com/LoksattaLive/status/1271660206733185025,0.129748,0.058585,0.06535,0.149145,0.134679
https://twitter.com/mataonline/status/1271628720722161665,0.129748,0.058585,0.06535,0.149145,0.134679
https://twitter.com/gogesh/status/1271490138695176193,0.013477,0.041853,0.010689,0.808231,0.098767
https://twitter.com/mumbaimatterz/status/1271478611980070914,0.186699,0.044646,0.162284,0.091785,0.69201
https://twitter.com/narvekar_raj/status/1271467887715405825,0.017164,0.005154,0.027165,0.769067,0.125469
https://twitter.com/bhumika_t/status/1271458023941320704,0.280456,0.053724,0.250259,0.16419,0.218028
https://twitter.com/Facto_news/status/1271448283882254336,0.189113,0.17478,0.04921,0.064203,0.268655
https://twitter.com/Maha_MEDD/status/1271438418631786496,0.027942,0.066991,0.082719,0.098108,0.223127
https://twitter.com/GautamGada1/status/1271435604794896386,0.121462,0.311539,0.365519,0.074224,0.425143
https://twitter.com/Maha_MEDD/status/1271434799433936896,0.028663,0.072313,0.084191,0.099946,0.224858
https://twitter.com/jyotirai29/status/1271410458784706566,0.31251,0.097391,0.352453,0.042325,0.147742
https://twitter.com/AsianNewsMakers/status/1271391385719984128,0.051368,0.015331,0.090954,0.050349,0.26048
https://twitter.com/ndtv/status/1271388977266745345,0.280438,0.193397,0.03574,0.111153,0.115459
https://twitter.com/AdriftRider/status/1271383225227755520,0.309245,0.156827,0.249935,0.192503,0.275508
https://twitter.com/anahita_kapoor/status/1271381936783720450,0.007097,0.002447,0.008424,0.930985,0.047038
https://twitter.com/larryhert_10/status/1271381490870386688,0.17515,0.018314,0.045716,0.682674,0.067875
https://twitter.com/patidarsom/status/1271372077723983874,0.023531,0.091741,0.07025,0.381063,0.196304
https://twitter.com/ZEE5News/status/1271361859002626048,0.169616,0.079705,0.306817,0.390089,0.172105
https://twitter.com/gujarati_mulgi/status/1271333083317284864,0.06404,0.139189,0.412956,0.015436,0.627015
https://twitter.com/bluetreelakes/status/1271314519533342720,0.057819,0.074584,0.017658,0.053853,0.55405
https://twitter.com/SumanSaurabh007/status/1271250935465930752,0.203304,0.235303,0.113405,0.026857,0.673559
https://twitter.com/RaoMandar/status/1271175167415332865,0.135683,0.099824,0.272356,0.239291,0.124736
https://twitter.com/BalBolkhare/status/1271155589888897024,0.391052,0.222943,0.157706,0.028877,0.322653
https://twitter.com/mumbaimatterz/status/1271107832792793088,0.163122,0.053978,0.165727,0.036198,0.75932
https://twitter.com/sajeshsudhanshu/status/1271091398142377984,0.01697,0.062072,0.109817,0.676978,0.153197
https://twitter.com/R_P_Khare/status/1271059394134831104,0.167255,0.143474,0.264651,0.427129,0.017798
https://twitter.com/Samruddhak107/status/1271058118814777344,0.066136,0.054865,0.426128,0.402054,0.162756
https://twitter.com/TheMahaMTB/status/1271048583479873536,0.249512,0.099425,0.049525,0.249451,0.242864
https://twitter.com/Odisha_Tweets/status/1271044024036519936,0.297984,0.136717,0.035638,0.201581,0.301834
https://twitter.com/MovieTalkies/status/1271039054683836416,0.126493,0.02108,0.115377,0.248842,0.21605
https://twitter.com/krunaljoshii/status/1271036483227377664,0.096937,0.103768,0.050269,0.04386,0.344427
https://twitter.com/AnkitMadX/status/1271034504992272384,0.346788,0.041788,0.255274,0.017112,0.431609
https://twitter.com/latestly/status/1271027081271369728,0.090482,0.175638,0.050016,0.157248,0.516737
https://twitter.com/Maha_MEDD/status/1270994291154997252,0.151631,0.086156,0.085709,0.085339,0.222351
https://twitter.com/Maha_MEDD/status/1270988353542840321,0.028663,0.072313,0.084191,0.099946,0.224858
https://twitter.com/TheDraftWorld/status/1270986581294215168,0.204597,0.102101,0.147769,0.13391,0.530457
https://twitter.com/AlokShukla1929/status/1270979217614729216,0.105807,0.148921,0.098013,0.158976,0.254026
